Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,1,1,2,2,2,1,9,0.000%,757.57576,632.55,131.69
TOTAL,100,1,1,2,2,2,1,9,0.000%,757.57576,632.55,131.69
